id_anonimo,cargo,lotacao,tipo_campus
80,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/ZN,Capital
81,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/MO,Interior
82,PEDAGOGO-AREA (PCIFE) - 701058,CSGA,Interior
83,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
84,MEDICO - PCCTAE (PCMED) - 647001,DG/SC,Interior
85,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
86,DESENHISTA TECNICO ESPECIALIDADE (PCIFE) - 701270,DG/CNAT,Capital
87,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/IP,Interior
88,AUX EM ADMINISTRACAO (PCIFE) - 701405,COAD/CTM,Interior
89,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/CA,Interior
90,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PF,Interior
91,PEDAGOGO-AREA (PCIFE) - 701058,RE,Capital
92,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
93,PEDAGOGO-AREA (PCIFE) - 701058,DG/AP,Interior
94,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PAR,Interior
95,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
96,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/CNAT,Capital
97,ENGENHEIRO-AREA (PCIFE) - 701031,DG/ZN,Capital
98,AUDITOR (PCIFE) - 701009,RE,Capital
99,TECNICO EM ENFERMAGEM (PCIFE) - 701233,CCAL,Capital
100,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CANG,Interior
101,ODONTOLOGO - 40 HORAS (PCIFE) - 701064,DG/SC,Interior
102,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/ZL,Capital
103,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CANG,Interior
104,ODONTOLOGO - 40 HORAS (PCIFE) - 701064,NC,Interior
105,SECRETARIO EXECUTIVO (PCIFE) - 701076,DG/ZN,Capital
106,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/CANG,Interior
107,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/IP,Interior
108,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CANG,Interior
109,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
110,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CN,Interior
111,TECNOLOGO-FORMACAO (PCIFE) - 701081,DG/MC,Interior
112,TECNICO EM CONTABILIDADE (PCIFE) - 701224,DG/ZL,Capital
113,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/CNAT,Capital
114,TECNOLOGO-FORMACAO (PCIFE) - 701081,RE,Capital
115,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/ZN,Capital
116,NUTRICIONISTA-HABILITACAO (PCIFE) - 701055,DG/JC,Interior
117,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/CNAT,Capital
118,TRADUTOR INTERPRETE DE LINGUAGEM SINAIS (PCIFE) - 701266,DG/SC,Interior
119,PSICOLOGO-AREA (PCIFE) - 701060,DG/CNAT,Capital
120,AUX EM ADMINISTRACAO (PCIFE) - 701405,NC,Interior
121,MEDICO - PCCTAE (PCMED) - 647001,CM,Interior
122,TECNICO EM ENFERMAGEM (PCIFE) - 701233,DG/ZN,Capital
